Team,Team_Number,Pos,Draw,Goals_For,Goal_Difference,Pts
Arsenal,1,5,7,73,22,70
Aston Villa,2,0,0,0,0,0
Bournemouth,3,14,6,56,-14,45
Brighton,4,17,9,35,-25,36
Burnley,5,15,7,45,-23,40
Cardiff,6,18,4,34,-35,34
Chelsea,7,3,9,63,24,72
Crystal Palace,8,12,7,51,-2,49
Everton,9,8,9,54,8,54
Fulham,10,19,5,34,-47,26
Huddersfield,11,20,7,22,-54,16
Hull,12,0,0,0,0,0
Leicester,13,9,7,51,3,52
Liverpool,14,2,7,89,67,97
Man City,15,1,2,95,72,98
Man United,16,6,9,65,11,66
Middlesbrough,17,0,0,0,0,0
Newcastle,18,13,9,42,-6,45
Norwich,19,0,0,0,0,0
Sheffield United,20,0,0,0,0,0
Southampton,21,16,12,45,-20,39
Stoke,22,0,0,0,0,0
Sunderland,23,0,0,0,0,0
Swansea,24,0,0,0,0,0
Tottenham,25,4,2,67,28,71
Watford,26,11,8,52,-7,50
West Brom,27,0,0,0,0,0
West Ham,28,10,7,52,-3,52
Wolves,29,7,9,47,1,57
