,ASeas_Pos,ASeas_Draw,ASeas_Goals_For,ASeas_Goal_Difference,ASeas_Pts,HSeas_Pos,HSeas_Draw,HSeas_Goals_For,HSeas_Goal_Difference,HSeas_Pts,A_Team_number,A_Av_Salary_Club,A_Draw,A_Goals_For,A_Goal_Difference,H_Team_number,H_Av_Salary_Club,H_Draw,H_Goals_For,H_Goal_Difference,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,year,month,RandomNumber
0,0,0,0,0,0,2,7,89,67,97,19,0.65,92,365,-145,14,4.86,262,1774,728,1.83,3.7,4.33,2019,8,1746
1,1,2,95,72,98,10,7,52,-3,52,15,5.99,196,1374,399,28,3.19,228,1064,-205,1.83,3.7,4.33,2019,8,1389
2,16,12,45,-20,39,15,7,45,-23,40,21,2.67,214,937,-150,5,1.6,44,190,-107,1.83,3.7,4.33,2019,8,728
3,0,0,0,0,0,4,2,67,28,71,2,1.3,275,1117,-69,25,3.52,257,1547,241,1.83,3.7,4.33,2019,8,1179
4,17,9,35,-25,36,11,8,52,-7,50,4,1.7,22,69,-45,26,1.78,51,240,-137,1.83,3.7,4.33,2019,8,1025
5,0,0,0,0,0,14,6,56,-14,45,20,0.62,36,128,-40,3,1.99,36,201,-64,1.83,3.7,4.33,2019,8,347
6,8,9,54,8,54,12,7,51,-2,49,9,3.25,296,1357,46,8,2.76,96,425,-139,1.83,3.7,4.33,2019,8,1532
7,7,9,47,1,57,9,7,51,3,52,29,1.76,49,203,-124,13,2.71,136,623,-95,1.83,3.7,4.33,2019,8,1147
8,5,7,73,22,70,13,9,42,-6,45,1,4.85,260,1845,832,18,1.65,234,1249,14,1.83,3.7,4.33,2019,8,557
9,3,9,63,24,72,6,9,65,11,66,7,5.02,257,1770,768,16,6.53,224,1989,1060,1.83,3.7,4.33,2019,8,1341
10,15,7,45,-23,40,5,7,73,22,70,5,1.6,44,190,-107,1,4.85,260,1845,832,1.83,3.7,4.33,2019,8,1422
11,14,6,56,-14,45,0,0,0,0,0,3,1.99,36,201,-64,2,1.3,275,1117,-69,1.83,3.7,4.33,2019,8,991
12,13,9,42,-6,45,0,0,0,0,0,18,1.65,234,1249,14,19,0.65,92,365,-145,1.83,3.7,4.33,2019,8,1007
13,4,2,67,28,71,1,2,95,72,98,25,3.52,257,1547,241,15,5.99,196,1374,399,1.83,3.7,4.33,2019,8,1710
14,10,7,52,-3,52,17,9,35,-25,36,28,3.19,228,1064,-205,4,1.7,22,69,-45,1.83,3.7,4.33,2019,8,467
15,2,7,89,67,97,16,12,45,-20,39,14,4.86,262,1774,728,21,2.67,214,937,-150,1.83,3.7,4.33,2019,8,688
16,11,8,52,-7,50,8,9,54,8,54,26,1.78,51,240,-137,9,3.25,296,1357,46,1.83,3.7,4.33,2019,8,461
17,12,7,51,-2,49,0,0,0,0,0,8,2.76,96,425,-139,20,0.62,36,128,-40,1.83,3.7,4.33,2019,8,621
18,9,7,51,3,52,3,9,63,24,72,13,2.71,136,623,-95,7,5.02,257,1770,768,1.83,3.7,4.33,2019,8,509
19,6,9,65,11,66,7,9,47,1,57,16,6.53,224,1989,1060,29,1.76,49,203,-124,1.83,3.7,4.33,2019,8,1690
20,8,9,54,8,54,0,0,0,0,0,9,3.25,296,1357,46,2,1.3,275,1117,-69,1.83,3.7,4.33,2019,8,85
21,10,7,52,-3,52,11,8,52,-7,50,28,3.19,228,1064,-205,26,1.78,51,240,-137,1.83,3.7,4.33,2019,8,124
22,5,7,73,22,70,2,7,89,67,97,1,4.85,260,1845,832,14,4.86,262,1774,728,1.83,3.7,4.33,2019,8,1806
23,3,9,63,24,72,0,0,0,0,0,7,5.02,257,1770,768,19,0.65,92,365,-145,1.83,3.7,4.33,2019,8,925
24,9,7,51,3,52,0,0,0,0,0,13,2.71,136,623,-95,20,0.62,36,128,-40,1.83,3.7,4.33,2019,8,221
25,12,7,51,-2,49,6,9,65,11,66,8,2.76,96,425,-139,16,6.53,224,1989,1060,1.83,3.7,4.33,2019,8,1436
26,16,12,45,-20,39,17,9,35,-25,36,21,2.67,214,937,-150,4,1.7,22,69,-45,1.83,3.7,4.33,2019,8,1645
27,15,7,45,-23,40,7,9,47,1,57,5,1.6,44,190,-107,29,1.76,49,203,-124,1.83,3.7,4.33,2019,8,1357
28,13,9,42,-6,45,4,2,67,28,71,18,1.65,234,1249,14,25,3.52,257,1547,241,1.83,3.7,4.33,2019,8,997
29,1,2,95,72,98,14,6,56,-14,45,15,5.99,196,1374,399,3,1.99,36,201,-64,1.83,3.7,4.33,2019,8,1096
30,0,0,0,0,0,10,7,52,-3,52,19,0.65,92,365,-145,28,3.19,228,1064,-205,1.83,3.7,4.33,2019,8,488
31,11,8,52,-7,50,13,9,42,-6,45,26,1.78,51,240,-137,18,1.65,234,1249,14,1.83,3.7,4.33,2019,8,1632
32,17,9,35,-25,36,1,2,95,72,98,4,1.7,22,69,-45,15,5.99,196,1374,399,1.83,3.7,4.33,2019,8,1086
33,0,0,0,0,0,12,7,51,-2,49,2,1.3,275,1117,-69,8,2.76,96,425,-139,1.83,3.7,4.33,2019,8,1017
34,6,9,65,11,66,16,12,45,-20,39,16,6.53,224,1989,1060,21,2.67,214,937,-150,1.83,3.7,4.33,2019,8,653
35,2,7,89,67,97,15,7,45,-23,40,14,4.86,262,1774,728,5,1.6,44,190,-107,1.83,3.7,4.33,2019,8,859
36,14,6,56,-14,45,9,7,51,3,52,3,1.99,36,201,-64,13,2.71,136,623,-95,1.83,3.7,4.33,2019,8,656
37,0,0,0,0,0,3,9,63,24,72,20,0.62,36,128,-40,7,5.02,257,1770,768,1.83,3.7,4.33,2019,8,1654
